City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,Kruisfontein,ZA,2022-03-29 05:30:56,-34.0033,24.7314,66.88,73,98,2.84
60,Wonthaggi,AU,2022-03-29 05:30:57,-38.6044,145.5913,63.82,69,35,10.27
61,Dalvik,IS,2022-03-29 05:30:57,65.9702,-18.5286,26.53,84,63,7.63
62,Chokurdakh,RU,2022-03-29 05:30:58,70.6333,147.9167,0.79,89,15,4.5
63,Zavodskoy,RU,2022-03-29 05:30:58,43.4597,132.2922,45.99,65,75,20.13
64,Pochutla,MX,2022-03-29 05:30:59,15.7432,-96.4661,76.82,59,54,3.96
65,Lethem,GY,2022-03-29 05:30:59,3.3803,-59.7968,75.49,78,89,11.12
66,Hami,CN,2022-03-29 05:30:59,42.8,93.45,57.51,14,1,8.86
67,Mar Del Plata,AR,2022-03-29 05:29:10,-38.0023,-57.5575,66.22,87,0,14.97
68,Bredasdorp,ZA,2022-03-29 05:31:00,-34.5322,20.0403,65.41,53,83,6.26
69,Mataura,NZ,2022-03-29 05:31:00,-46.1927,168.8643,61.77,75,95,2.55
70,Daru,PG,2022-03-29 05:31:01,-9.0763,143.2092,81.82,82,100,6.96
71,Ponta Do Sol,PT,2022-03-29 05:31:02,32.6667,-17.1,62.06,74,66,5.88
72,Nome,US,2022-03-29 05:31:02,64.5011,-165.4064,21.27,79,0,12.66
73,Chernyshevskiy,RU,2022-03-29 05:31:03,63.0128,112.4714,16.88,74,96,8.32
74,Bethel,US,2022-03-29 05:29:41,41.3712,-73.414,23.49,59,100,10.0
75,Wanning,CN,2022-03-29 05:31:03,18.8003,110.3967,79.16,82,88,10.13
76,Arlit,NE,2022-03-29 05:31:04,18.7369,7.3853,72.91,6,4,6.35
77,Yarada,IN,2022-03-29 05:31:04,17.65,83.2667,89.92,66,20,10.36
78,Pike Creek,US,2022-03-29 05:31:04,39.7309,-75.7041,26.83,48,75,12.66
79,Arraial Do Cabo,BR,2022-03-29 05:31:05,-22.9661,-42.0278,74.05,86,100,6.87
80,Brae,GB,2022-03-29 05:31:05,60.3964,-1.353,37.83,61,98,14.34
81,Mahebourg,MU,2022-03-29 05:31:06,-20.4081,57.7,84.25,74,20,3.44
82,Tuktoyaktuk,CA,2022-03-29 05:31:06,69.4541,-133.0374,-16.6,76,0,10.36
83,Araceli,PH,2022-03-29 05:31:07,10.5529,119.9913,80.22,81,100,17.54
84,Airai,TL,2022-03-29 05:31:07,-8.9266,125.4092,69.76,79,75,1.05
85,San Patricio,US,2022-03-29 05:31:07,28.017,-97.5169,72.9,93,94,16.55
86,Nanortalik,GL,2022-03-29 05:31:08,60.1432,-45.2371,28.22,76,14,5.21
87,Tikhvin,RU,2022-03-29 05:31:08,59.6451,33.5294,17.65,92,99,6.2
88,Hindaun,IN,2022-03-29 05:31:09,26.7167,77.0167,102.36,6,2,10.4
89,East London,ZA,2022-03-29 05:31:09,-33.0153,27.9116,77.94,53,0,4.61
90,Mount Gambier,AU,2022-03-29 05:31:51,-37.8333,140.7667,66.11,52,100,11.5
91,Ribeira Grande,PT,2022-03-29 05:32:10,38.5167,-28.7,60.57,84,100,7.05
92,Cockburn Town,TC,2022-03-29 05:32:10,21.4612,-71.1419,76.42,65,44,15.05
