City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,San Lazaro,BZ,18.0387,-88.6622,75.54,92,6,6.87,clear sky
80,Yamada,JP,39.4667,141.95,43.27,52,20,10.67,few clouds
81,Kenora,CA,49.8167,-94.4337,29.1,93,41,7.02,scattered clouds
82,Jamestown,US,42.097,-79.2353,31.01,56,82,8.99,broken clouds
83,Ponta Do Sol,PT,32.6667,-17.1,63.01,83,100,4.0,overcast clouds
84,Nivala,FI,63.9167,24.9667,20.68,90,55,7.49,broken clouds
85,Laguna,US,38.421,-121.4238,62.92,67,0,6.91,clear sky
86,Roebourne,AU,-20.7833,117.1333,88.88,52,71,7.72,broken clouds
87,Chaohu,CN,31.6,117.8667,59.86,41,43,2.21,scattered clouds
88,Ascension,US,30.2169,-90.9001,60.08,84,0,0.0,clear sky
89,Carnarvon,AU,-24.8667,113.6333,84.27,70,16,14.97,few clouds
90,Kruisfontein,ZA,-34.0033,24.7314,58.89,80,16,5.64,few clouds
91,Ixtapa,MX,20.7,-105.2,69.22,81,51,1.86,broken clouds
92,Arlit,NE,18.7369,7.3853,79.2,4,100,6.13,overcast clouds
93,Kavieng,PG,-2.5744,150.7967,76.62,91,100,11.18,moderate rain
94,Saint George,US,37.1041,-113.5841,66.63,29,0,3.44,clear sky
95,Sitka,US,57.0531,-135.33,39.09,81,100,8.05,overcast clouds
96,Korla,CN,41.7597,86.1469,59.2,26,0,8.25,clear sky
97,Tuatapere,NZ,-46.1333,167.6833,59.92,74,9,9.91,clear sky
98,Cockburn Town,TC,21.4612,-71.1419,77.34,72,0,21.54,clear sky
99,Bambous Virieux,MU,-20.3428,57.7575,75.45,94,75,19.57,light intensity shower rain
100,Whitianga,NZ,-36.8333,175.7,69.76,76,82,7.23,broken clouds
101,Jaque,PA,7.5175,-78.1703,77.02,88,100,2.24,overcast clouds
102,Chama,CH,47.1821,8.4636,33.15,96,75,1.14,light snow
103,Saldanha,ZA,-33.0117,17.9442,60.96,82,0,17.74,clear sky
104,Husavik,IS,66.0449,-17.3389,33.98,85,85,9.86,overcast clouds
105,Lebu,CL,-37.6167,-73.65,54.3,94,12,9.78,few clouds
106,Sergiyevsk,RU,53.9413,51.165,37.9,97,100,7.76,overcast clouds
107,Praia Da Vitoria,PT,38.7333,-27.0667,57.76,81,100,13.02,overcast clouds
108,Sovetskiy,RU,61.3614,63.5842,24.37,77,7,6.2,clear sky
109,Bac Giang,VN,21.2667,106.2,69.87,52,99,16.98,overcast clouds
110,Shingu,JP,33.7333,135.9833,53.15,49,100,4.41,overcast clouds
111,Walvis Bay,NA,-22.9575,14.5053,58.08,88,0,5.64,clear sky
112,Ust-Nera,RU,64.5667,143.2,11.35,78,61,1.83,broken clouds
113,Pangnirtung,CA,66.1451,-65.7125,21.42,85,100,3.22,overcast clouds
114,Tasiilaq,GL,65.6145,-37.6368,35.76,95,100,9.22,light rain
115,Gat,IL,31.61,34.7642,76.41,45,100,2.46,overcast clouds
116,Rio De Janeiro,BR,-22.9028,-43.2075,75.0,46,100,14.27,overcast clouds
117,Cabo San Lucas,MX,22.8909,-109.9124,69.62,65,0,5.01,clear sky
118,Kodiak,US,57.79,-152.4072,36.91,87,100,6.91,overcast clouds
119,Cabedelo,BR,-6.9811,-34.8339,78.75,77,48,8.97,scattered clouds
120,East London,ZA,-33.0153,27.9116,61.74,100,100,11.5,light intensity shower rain
121,Flin Flon,CA,54.7682,-101.865,19.51,93,99,9.13,overcast clouds
122,Castro,BR,-24.7911,-50.0119,54.23,98,100,5.64,overcast clouds
123,Sibolga,ID,1.7427,98.7792,87.6,53,92,6.2,overcast clouds
124,Kaitangata,NZ,-46.2817,169.8464,61.99,64,0,9.04,clear sky
125,Ginir,ET,7.1333,40.7,66.92,46,43,5.14,scattered clouds
126,La Union,PE,-5.4,-80.75,72.45,72,76,10.07,broken clouds
127,Grindavik,IS,63.8424,-22.4338,41.47,100,75,6.91,fog
128,Ambilobe,MG,-13.2,49.05,78.04,84,35,1.9,scattered clouds
129,Coahuayana,MX,18.7333,-103.6833,66.07,91,100,3.44,overcast clouds
130,Bithur,IN,26.6333,80.2833,98.19,6,0,2.46,clear sky
131,Moose Factory,CA,51.2585,-80.6094,15.22,98,62,4.21,broken clouds
132,Erdenet,MN,49.0333,104.0833,48.36,15,12,7.54,few clouds
133,Salta,AR,-24.7859,-65.4117,51.58,81,0,1.99,clear sky
134,Mount Gambier,AU,-37.8333,140.7667,67.17,53,100,12.15,overcast clouds
135,Bathsheba,BB,13.2167,-59.5167,79.41,69,75,19.57,broken clouds
136,Fort Nelson,CA,58.8053,-122.7002,10.85,95,100,5.37,light snow
137,Santo Tomas,PH,14.1079,121.1414,88.48,40,52,13.31,broken clouds
138,Dombarovskiy,RU,50.7587,59.5386,38.44,85,97,10.33,overcast clouds
139,Roald,NO,62.5833,6.1333,37.76,69,75,9.22,broken clouds
140,Nanortalik,GL,60.1432,-45.2371,34.25,88,60,3.11,broken clouds
141,Norman Wells,CA,65.282,-126.8329,-16.38,99,57,4.12,broken clouds
142,Marzuq,YE,14.4,46.4667,74.68,26,0,3.18,clear sky
143,Manaure,CO,11.7751,-72.4445,78.55,78,100,16.13,overcast clouds
144,Dikson,RU,73.5069,80.5464,8.74,92,96,6.89,overcast clouds
145,Bluff,NZ,-46.6,168.3333,58.71,75,79,17.54,broken clouds
146,Cidreira,BR,-30.1811,-50.2056,62.98,74,26,4.74,scattered clouds
147,Sola,VU,-13.8833,167.55,79.74,80,100,20.29,moderate rain
148,Santa Cruz,BO,-17.8,-63.1667,63.86,68,75,4.61,broken clouds
149,Punta Cardon,VE,11.6581,-70.215,77.63,83,20,26.24,few clouds
150,Sinnamary,GF,5.3833,-52.95,76.06,92,95,8.9,overcast clouds
151,Srednekolymsk,RU,67.45,153.6833,1.17,82,89,8.1,overcast clouds
152,Nagornskiy,RU,58.7731,57.5451,25.93,88,100,3.65,overcast clouds
153,Lagoa,PT,39.05,-27.9833,56.97,69,100,16.46,overcast clouds
154,Kant,IN,27.8,79.8,94.91,6,0,3.71,clear sky
155,Tarko-Sale,RU,64.9225,77.785,18.48,89,89,9.53,overcast clouds
156,Pisco,PE,-13.7,-76.2167,66.25,77,0,3.44,clear sky
157,Fort Payne,US,34.4442,-85.7197,45.01,80,0,3.44,clear sky
158,Rio Gallegos,AR,-51.6226,-69.2181,46.45,81,0,4.61,clear sky
159,Salinas,US,36.6777,-121.6555,54.57,78,0,9.22,clear sky
160,Chuy,UY,-33.6971,-53.4616,54.05,72,0,4.14,clear sky
161,Avera,US,33.194,-82.5271,50.38,56,0,6.04,clear sky
162,Xiamen,CN,24.4798,118.0819,56.97,71,100,9.01,overcast clouds
163,Pitkyaranta,RU,61.5734,31.4792,16.27,96,79,2.39,broken clouds
164,Lindi,TZ,-10.0,39.7167,75.47,94,84,3.98,broken clouds
165,Kahului,US,20.8947,-156.47,75.22,78,0,17.27,clear sky
166,Sturgeon Falls,CA,46.3646,-79.9326,26.89,93,39,4.23,scattered clouds
167,Lorengau,PG,-2.0226,147.2712,77.05,92,100,14.56,moderate rain
168,Lazaro Cardenas,MX,17.9583,-102.2,70.92,81,100,3.58,overcast clouds
169,Nikolskoye,RU,59.7035,30.7861,28.29,87,58,2.98,broken clouds
170,Malm,NO,64.0721,11.2172,34.79,97,100,10.02,light snow
171,Ustye,RU,59.6304,39.736,21.33,82,68,6.76,broken clouds
172,Flinders,AU,-34.5833,150.8552,70.18,65,99,8.01,overcast clouds
173,Omboue,GA,-1.5746,9.2618,73.87,95,100,5.01,light rain
174,Gravdal,NO,68.1214,13.5031,32.9,65,100,22.57,light snow
175,Rognan,NO,67.0953,15.3878,32.14,88,100,11.97,light snow
176,Klyuchi,RU,52.2667,79.1667,43.36,63,13,12.19,few clouds
177,Ust-Kalmanka,RU,52.1207,83.305,45.01,58,48,14.41,scattered clouds
178,Lima,PE,-12.0432,-77.0282,72.9,71,0,6.91,clear sky
179,Victoria,HK,22.2855,114.1577,61.25,76,100,11.01,moderate rain
180,Barraute,CA,48.4335,-77.6328,15.46,93,58,5.82,broken clouds
181,Arraial Do Cabo,BR,-22.9661,-42.0278,75.22,88,93,13.76,moderate rain
182,Iskateley,RU,67.6803,53.1512,13.64,89,43,9.86,scattered clouds
183,Tiznit,MA,29.5833,-9.5,56.88,74,100,0.78,overcast clouds
184,Porto Walter,BR,-8.2686,-72.7439,61.63,98,100,3.76,overcast clouds
185,Saint-Francois,FR,46.4154,3.9054,32.68,92,100,13.8,overcast clouds
186,Guarapari,BR,-20.6667,-40.4975,74.89,89,22,3.27,few clouds
187,Oskarshamn,SE,57.2645,16.4484,25.99,78,11,10.51,few clouds
188,San Patricio,US,28.017,-97.5169,71.83,82,61,10.56,broken clouds
189,Baijiantan,CN,45.6333,85.1833,59.09,22,100,5.77,overcast clouds
190,Naze,JP,28.3667,129.4833,60.64,63,100,13.65,overcast clouds
191,Shuyskoye,RU,59.3736,41.0305,20.34,81,64,7.16,broken clouds
192,Faanui,PF,-16.4833,-151.75,82.29,68,100,1.03,overcast clouds
193,Sao Filipe,CV,14.8961,-24.4956,69.76,82,22,7.18,few clouds
